h3_cell,parking,bench,waste_disposal,waste_basket,kindergarten,cafe,school,atm,pharmacy,bank,convenience,supermarket,kiosk,outpost,car_repair,clothes,hardware,mall,mobile_phone,hairdresser
882da99209fffff,25,22,11,3,1,0,1,1,0,0,3,1,0,2,4,2,0,0,0,1
882da99219fffff,35,7,7,0,1,5,1,0,2,4,9,6,2,4,1,1,1,3,0,1
882da99245fffff,5,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0
882da99247fffff,15,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
882da99255fffff,38,18,13,10,4,0,1,0,1,0,6,1,0,1,2,4,0,0,0,1
882da99257fffff,81,9,28,0,4,3,1,7,3,0,12,3,9,2,1,1,4,2,3,0
882da99269fffff,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
882da992c9fffff,14,0,13,0,2,1,2,0,0,1,1,1,0,2,0,1,1,0,0,0
882da992d9fffff,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
882da99645fffff,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
882da99651fffff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
882da99653fffff,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
882dad2995fffff,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
882dad2997fffff,2,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
882dad29a9fffff,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
882dad29abfffff,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
882dad29b9fffff,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
882dad2d25fffff,35,68,11,1,7,2,2,2,4,3,3,5,4,1,0,2,2,2,5,2
882dad2d27fffff,32,32,22,0,6,4,5,2,3,3,7,3,3,1,1,0,0,2,1,2
882dad2d33fffff,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
882dad2d35fffff,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
882dad2d37fffff,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
882dad2d83fffff,2,7,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
882dad2d85fffff,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
882dad2d87fffff,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
882dad2d93fffff,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
882dad2d95fffff,2,5,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1
882dad2d97fffff,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
882dad2de3fffff,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
882dad2de7fffff,0,8,0,8,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0
